stop_probability,estimator,seed,rmse,centered_rmse,multi_visit_fraction,spearman,sign_accuracy,sign_num_scored,sign_num_excluded,leakage_ratio,gradient_cosine,gradient_direction_bias,gradient_magnitude_error,gradient_variance
0.2,oracle_advantage,0,0.0,0.0,1.0,1.0,1.0,1513,215,0.0,0.9908527708013348,0.9998690285654113,0.01930913900452161,0.004130345050112113
0.2,oracle_advantage,1,0.0,0.0,1.0,1.0,1.0,1496,204,0.0,0.9976079185732547,0.9998690285654113,0.01930913900452161,0.004130345050112113
0.2,oracle_advantage,2,0.0,0.0,1.0,1.0,1.0,1423,209,0.0,0.9875006880160467,0.9998690285654113,0.01930913900452161,0.004130345050112113
0.2,oracle_advantage,3,0.0,0.0,1.0,1.0,1.0,1509,224,0.0,0.9969733075599123,0.9998690285654113,0.01930913900452161,0.004130345050112113
0.2,oracle_advantage,4,0.0,0.0,1.0,1.0,1.0,1485,200,0.0,0.9983100443890301,0.9998690285654113,0.01930913900452161,0.004130345050112113
0.2,oracle_advantage,5,0.0,0.0,1.0,1.0,1.0,1448,205,0.0,0.9869788957758888,0.9998690285654113,0.01930913900452161,0.004130345050112113
0.2,oracle_advantage,6,0.0,0.0,1.0,1.0,1.0,1486,203,0.0,0.9935240141143801,0.9998690285654113,0.01930913900452161,0.004130345050112113
0.2,oracle_advantage,7,0.0,0.0,1.0,1.0,1.0,1447,191,0.0,0.9949994820083956,0.9998690285654113,0.01930913900452161,0.004130345050112113
0.2,oracle_advantage,8,0.0,0.0,1.0,1.0,1.0,1435,195,0.0,0.9985030781164925,0.9998690285654113,0.01930913900452161,0.004130345050112113
0.2,oracle_advantage,9,0.0,0.0,1.0,1.0,1.0,1515,202,0.0,0.9882970776338126,0.9998690285654113,0.01930913900452161,0.004130345050112113
0.2,batch_centered_broadcast,0,0.8992119518754809,0.8429919814064326,1.0,0.48420473823825283,0.7534699272967614,1513,215,0.10733714364346292,0.9877781181218607,0.9998555161088538,0.020687010704461276,0.004596544973143124
