horizon,batch_size,num_seeds,good_success_probability,bad_success_probability,num_distractor_actions,num_rollouts,seed,mc_seed,rmse
8,200,30,0.8,0.2,2,1,0,1000003,0.5510217781540029
8,200,30,0.8,0.2,2,1,1,1007922,0.5345558904361638
8,200,30,0.8,0.2,2,1,2,1015841,0.5313896875175503
8,200,30,0.8,0.2,2,1,3,1023760,0.6341332667507676
8,200,30,0.8,0.2,2,1,4,1031679,0.6509608283145769
8,200,30,0.8,0.2,2,1,5,1039598,0.5642472862141206
8,200,30,0.8,0.2,2,1,6,1047517,0.4860555523805888
8,200,30,0.8,0.2,2,1,7,1055436,0.5336197147782301
8,200,30,0.8,0.2,2,1,8,1063355,0.6331469023852214
8,200,30,0.8,0.2,2,1,9,1071274,0.591924826308206
8,200,30,0.8,0.2,2,1,10,1079193,0.6466258578188792
8,200,30,0.8,0.2,2,1,11,1087112,0.5710735504293648
8,200,30,0.8,0.2,2,1,12,1095031,0.6714722630161287
8,200,30,0.8,0.2,2,1,13,1102950,0.6118619125260208
8,200,30,0.8,0.2,2,1,14,1110869,0.47486840282335063
8,200,30,0.8,0.2,2,1,15,1118788,0.43459751494917714
8,200,30,0.8,0.2,2,1,16,1126707,0.5609144319769285
8,200,30,0.8,0.2,2,1,17,1134626,0.603427709009124
8,200,30,0.8,0.2,2,1,18,1142545,0.6194755846681935
8,200,30,0.8,0.2,2,1,19,1150464,0.545435605731786
8,200,30,0.8,0.2,2,1,20,1158383,0.6528782428600302
8,200,30,0.8,0.2,2,1,21,1166302,0.4900255095400646
8,200,30,0.8,0.2,2,1,22,1174221,0.468508271004899
8,200,30,0.8,0.2,2,1,23,1182140,0.6133922073192655
8,200,30,0.8,0.2,2,1,24,1190059,0.4085033659592051
8,200,30,0.8,0.2,2,1,25,1197978,0.5947688626685166
8,200,30,0.8,0.2,2,1,26,1205897,0.5145386282875173
8,200,30,0.8,0.2,2,1,27,1213816,0.5858754133772811
8,200,30,0.8,0.2,2,1,28,1221735,0.5343220002957016
8,200,30,0.8,0.2,2,1,29,1229654,0.396074487943872
8,200,30,0.8,0.2,2,4,0,1000003,0.32089961436561415
8,200,30,0.8,0.2,2,4,1,1007922,0.2571022413360101
8,200,30,0.8,0.2,2,4,2,1015841,0.2596421816654606
8,200,30,0.8,0.2,2,4,3,1023760,0.28227590669414215
8,200,30,0.8,0.2,2,4,4,1031679,0.2934839220468471
8,200,30,0.8,0.2,2,4,5,1039598,0.24267390671433964
8,200,30,0.8,0.2,2,4,6,1047517,0.25946158193458996
8,200,30,0.8,0.2,2,4,7,1055436,0.3244586838104349
8,200,30,0.8,0.2,2,4,8,1063355,0.24732948671761765
8,200,30,0.8,0.2,2,4,9,1071274,0.27996930635339307
8,200,30,0.8,0.2,2,4,10,1079193,0.2566308145955977
8,200,30,0.8,0.2,2,4,11,1087112,0.2583602136552768
8,200,30,0.8,0.2,2,4,12,1095031,0.29745010085727036
8,200,30,0.8,0.2,2,4,13,1102950,0.264943979927833
8,200,30,0.8,0.2,2,4,14,1110869,0.2364450253230124
8,200,30,0.8,0.2,2,4,15,1118788,0.2115050235810013
8,200,30,0.8,0.2,2,4,16,1126707,0.2914671936942476
8,200,30,0.8,0.2,2,4,17,1134626,0.34305611785828877
8,200,30,0.8,0.2,2,4,18,1142545,0.23057333432120902
8,200,30,0.8,0.2,2,4,19,1150464,0.2399544227556563
8,200,30,0.8,0.2,2,4,20,1158383,0.25731486062798664
8,200,30,0.8,0.2,2,4,21,1166302,0.2844677046696168
8,200,30,0.8,0.2,2,4,22,1174221,0.22871926022965364
8,200,30,0.8,0.2,2,4,23,1182140,0.2422227796884512
8,200,30,0.8,0.2,2,4,24,1190059,0.24851119190088772
8,200,30,0.8,0.2,2,4,25,1197978,0.3717568089490763
8,200,30,0.8,0.2,2,4,26,1205897,0.2731328660194522
8,200,30,0.8,0.2,2,4,27,1213816,0.3455181796953669
8,200,30,0.8,0.2,2,4,28,1221735,0.26625293425613183
8,200,30,0.8,0.2,2,4,29,1229654,0.30006509710394547
8,200,30,0.8,0.2,2,16,0,1000003,0.1517283242344686
8,200,30,0.8,0.2,2,16,1,1007922,0.16188435059866033
8,200,30,0.8,0.2,2,16,2,1015841,0.1275559007357165
8,200,30,0.8,0.2,2,16,3,1023760,0.11740396673984228
8,200,30,0.8,0.2,2,16,4,1031679,0.16946463264867395
8,200,30,0.8,0.2,2,16,5,1039598,0.12327520976964514
8,200,30,0.8,0.2,2,16,6,1047517,0.16629581135735202
8,200,30,0.8,0.2,2,16,7,1055436,0.12803159705225128
8,200,30,0.8,0.2,2,16,8,1063355,0.13001089197159615
8,200,30,0.8,0.2,2,16,9,1071274,0.13189388194207488
8,200,30,0.8,0.2,2,16,10,1079193,0.13332621237494915
8,200,30,0.8,0.2,2,16,11,1087112,0.14608330510790768
8,200,30,0.8,0.2,2,16,12,1095031,0.12478497130063373
8,200,30,0.8,0.2,2,16,13,1102950,0.11422291801560658
8,200,30,0.8,0.2,2,16,14,1110869,0.17053454562052822
8,200,30,0.8,0.2,2,16,15,1118788,0.16146606164299673
8,200,30,0.8,0.2,2,16,16,1126707,0.1439485720882634
8,200,30,0.8,0.2,2,16,17,1134626,0.16135110686791074
8,200,30,0.8,0.2,2,16,18,1142545,0.15221348597446935
8,200,30,0.8,0.2,2,16,19,1150464,0.15952811272625275
8,200,30,0.8,0.2,2,16,20,1158383,0.15757252794348403
8,200,30,0.8,0.2,2,16,21,1166302,0.11597918724926483
8,200,30,0.8,0.2,2,16,22,1174221,0.11248914878222692
8,200,30,0.8,0.2,2,16,23,1182140,0.14553913777743774
8,200,30,0.8,0.2,2,16,24,1190059,0.13889561615652232
8,200,30,0.8,0.2,2,16,25,1197978,0.13938691092602631
8,200,30,0.8,0.2,2,16,26,1205897,0.13422411587062136
8,200,30,0.8,0.2,2,16,27,1213816,0.15689398540495422
8,200,30,0.8,0.2,2,16,28,1221735,0.1470959109943238
8,200,30,0.8,0.2,2,16,29,1229654,0.16718750000000004
8,200,30,0.8,0.2,2,64,0,1000003,0.06850586981579568
8,200,30,0.8,0.2,2,64,1,1007922,0.08474438097845695
8,200,30,0.8,0.2,2,64,2,1015841,0.06720316859449886
8,200,30,0.8,0.2,2,64,3,1023760,0.07859934125240799
8,200,30,0.8,0.2,2,64,4,1031679,0.06414010162697556
8,200,30,0.8,0.2,2,64,5,1039598,0.08768761276052979
8,200,30,0.8,0.2,2,64,6,1047517,0.062435513607040895
8,200,30,0.8,0.2,2,64,7,1055436,0.06961261917243794
8,200,30,0.8,0.2,2,64,8,1063355,0.06828209917950229
8,200,30,0.8,0.2,2,64,9,1071274,0.07681598662245548
8,200,30,0.8,0.2,2,64,10,1079193,0.06741648841460271
8,200,30,0.8,0.2,2,64,11,1087112,0.059778133903366046
8,200,30,0.8,0.2,2,64,12,1095031,0.08424632114788823
8,200,30,0.8,0.2,2,64,13,1102950,0.06260854831622932
8,200,30,0.8,0.2,2,64,14,1110869,0.062073741743691346
8,200,30,0.8,0.2,2,64,15,1118788,0.06208578561466894
8,200,30,0.8,0.2,2,64,16,1126707,0.06780984477808606
8,200,30,0.8,0.2,2,64,17,1134626,0.06997662835279371
8,200,30,0.8,0.2,2,64,18,1142545,0.08198566441715208
8,200,30,0.8,0.2,2,64,19,1150464,0.07605459721681866
8,200,30,0.8,0.2,2,64,20,1158383,0.06817833169056998
8,200,30,0.8,0.2,2,64,21,1166302,0.06254685743504637
8,200,30,0.8,0.2,2,64,22,1174221,0.07959170099443463
8,200,30,0.8,0.2,2,64,23,1182140,0.06504346128142911
8,200,30,0.8,0.2,2,64,24,1190059,0.07657346063125829
8,200,30,0.8,0.2,2,64,25,1197978,0.06599828729430222
8,200,30,0.8,0.2,2,64,26,1205897,0.06995612813243207
8,200,30,0.8,0.2,2,64,27,1213816,0.09096145786214209
8,200,30,0.8,0.2,2,64,28,1221735,0.07632496634968966
8,200,30,0.8,0.2,2,64,29,1229654,0.06529165711085341
8,200,30,0.8,0.2,2,256,0,1000003,0.04104230902825881
