horizon,stop_rewards,continue_reward,batch_size,stop_probability,estimator,num_seeds,rmse_mean,centered_rmse_mean,spearman_mean,sign_accuracy_mean,gradient_cosine_mean,mean_gradient_cosine,relative_mean_gradient_error,gradient_variance,normalized_gradient_variance,normalized_gradient_mse
3,0|2|1,0,2,0.2,oracle_advantage,200,0,0,0.945,1,0.877931770641,0.999368933994,0.0359583969345,0.1401895,1.31638277494,1.31767578125
3,0|2|1,0,2,0.2,batch_centered_broadcast,200,0.605680957705,0.271466737181,0.385665603472,0.367916666667,0.679472931823,0.999907757828,0.0720276910726,0.3159555,2.96682974008,2.97201772837
3,0|2|1,0,2,0.2,turn_loo,200,0.605680957705,0.271466737181,0.327911587891,0.367916666667,0.679472931823,0.999907757828,0.0720276910726,0.3159555,2.96682974008,2.97201772837
3,0|2|1,0,2,0.35,oracle_advantage,200,0,0,0.88,1,0.93859848039,0.99910351943,0.0423834435187,0.0560554589844,0.241217476599,0.243013832884
3,0|2|1,0,2,0.35,batch_centered_broadcast,200,0.837872450968,0.365182755239,0.509234901334,0.498333333333,0.712158381177,0.997894363075,0.0716142415138,0.483321875,2.07982746346,2.08495606305
3,0|2|1,0,2,0.35,turn_loo,200,0.837872450968,0.365182755239,0.461846991113,0.498333333333,0.712158381177,0.997894363075,0.0716142415138,0.483321875,2.07982746346,2.08495606305
3,0|2|1,0,2,0.5,oracle_advantage,200,0,0,0.75,1,0.979242684291,0.999971735044,0.00790569415042,0.01482421875,0.0474375,0.0475
3,0|2|1,0,2,0.5,batch_centered_broadcast,200,0.940832175586,0.375963926026,0.481460402968,0.518333333333,0.73743632477,0.99863989861,0.0521536192416,0.5179,1.65728,1.66
3,0|2|1,0,2,0.5,turn_loo,200,0.940832175586,0.375963926026,0.445919470302,0.518333333333,0.73743632477,0.99863989861,0.0521536192416,0.5179,1.65728,1.66
3,0|2|1,0,2,0.65,oracle_advantage,200,0,0,0.585,1,0.983535640327,0.999936202957,0.0120098379507,0.0725096859375,0.246218655618,0.246362891825
3,0|2|1,0,2,0.65,batch_centered_broadcast,200,0.925529871794,0.34897978135,0.330717812497,0.46125,0.815422465645,0.999768701469,0.0408348393219,0.513873,1.74494093558,1.74660841968
3,0|2|1,0,2,0.65,turn_loo,200,0.925529871794,0.34897978135,0.314428218359,0.46125,0.815422465645,0.999768701469,0.0408348393219,0.513873,1.74494093558,1.74660841968
3,0|2|1,0,2,0.8,oracle_advantage,200,0,0,0.39,1,0.989372167459,0.99987896957,0.0603675858953,0.2077864,1.23729516006,1.24093940549
3,0|2|1,0,2,0.8,batch_centered_broadcast,200,0.739885149919,0.254625762698,0.258107562506,0.332916666667,0.892504945654,0.99969519872,0.0699197193172,0.437883,2.60743973895,2.6123285061
3,0|2|1,0,2,0.8,turn_loo,200,0.739885149919,0.254625762698,0.253664945923,0.332916666667,0.892504945654,0.99969519872,0.0699197193172,0.437883,2.60743973895,2.6123285061
3,0|2|1,0,4,0.2,oracle_advantage,200,0,0,1,1,0.881295968535,0.999511846455,0.0381534857721,0.073998775,0.694850276067,0.696305964543
3,0|2|1,0,4,0.2,batch_centered_broadcast,200,0.440725942572,0.206583621256,0.573641874315,0.529476190476,0.742924282848,0.998985600329,0.0503544171288,0.119993972222,1.12674628364,1.12928185096
3,0|2|1,0,4,0.2,turn_loo,200,0.348129463539,0.211589889893,0.628395590291,0.566857142857,0.793170687795,0.999343869486,0.0402821091882,0.0976576388889,0.917007576706,0.918630225027
3,0|2|1,0,4,0.35,oracle_advantage,200,0,0,0.99,1,0.958762765276,0.998590905637,0.0566005435235,0.0312180386719,0.134337255448,0.137540876975
3,0|2|1,0,4,0.35,batch_centered_broadcast,200,0.602674908981,0.250645449704,0.757568462251,0.672255952381,0.804129570632,0.996366841847,0.090705795118,0.125130038194,0.538458744374,0.546686285642
3,0|2|1,0,4,0.35,turn_loo,200,0.502354904971,0.264538464519,0.765143340445,0.732970238095,0.854038365372,0.999175350679,0.043774319717,0.10059659375,0.432886590147,0.434802781214
3,0|2|1,0,4,0.5,oracle_advantage,200,0,0,0.945,1,0.988893570272,0.999959258392,0.00948683298051,0.0078625,0.02516,0.02525
3,0|2|1,0,4,0.5,batch_centered_broadcast,200,0.703105789585,0.269135863909,0.734896806458,0.71994047619,0.846552106403,0.996608527506,0.11843892003,0.126692708333,0.405416666667,0.419444444444
3,0|2|1,0,4,0.5,turn_loo,200,0.617669940579,0.28304000263,0.796018768902,0.75244047619,0.872751904312,0.999237491855,0.08651268372,0.113494444444,0.363182222222,0.370666666667
